序号,name,tag(推荐菜),district,机器判定,人工判定(对留空/错填:traditional|modern|excluded),备注
161,鸡柳大人(盛铠大厦店),鸡柳,番禺区,other_chicken,,
162,菜田街鸡煲王总店,,白云区,other_chicken,,
163,品汤居海鲜酒家(东晓南店),"双人餐,火焰黑叉烧,原只鲜虾饺,鸡油马拉糕",海珠区,other_chicken,,
164,炸鸡宫殿,炸鸡,白云区,modern,,
165,虎头炸·潮汕南乳炸鸡(番禺雄峰城店),炸鸡,番禺区,modern,,
166,三串鸡,,天河区,other_chicken,,
167,柴火现烤烧鸡,,白云区,other_chicken,,
168,栋记脆皮手撕鸡,,番禺区,traditional,,
169,潮汕现炒鸡肉盖饭(嘉禾望岗店),,白云区,other_chicken,,
170,鲜香阁手撕鸡(新华店),手撕鸡,花都区,traditional,,
171,麦当劳(建设北路第二分店餐厅),"开心乐园餐配小玉米,鸡肉卷套餐,双层鱼柳包套餐,原味板烧鸡腿麦满分配脆薯饼,烟肉蛋麦满分套餐,鱼排早晨全餐,蔬菜沙拉,双层板烧麦满分配橙汁,雪梨蜜,火腿扒蛋麦煎饼配脆薯饼,墨西哥烧烤风味鸡腿堡,麦香鸡堡,麦香鸡中套餐,阿萨姆奶茶,榛果风味拿铁,汉堡,双人餐,薯条",花都区,other_chicken,,
172,柠檬鸡,柠檬鸡,海珠区,other_chicken,,
173,顺景阳山鸡,阳山鸡,番禺区,other_chicken,,
174,化州香油鸡(南村高路西大街店),,白云区,other_chicken,,
175,马来西亚·海南鸡饭(海珠店),海南鸡饭,海珠区,other_chicken,,
176,湖南郴州茶油烧鸡公龙虾馆(永泰店),,白云区,other_chicken,,
177,洪桥烤鲜鸡,,番禺区,other_chicken,,
178,赛百味(思成路店),"金枪鱼三明治,西式火腿三明治,黑胡椒厚切牛排三明治,香溢金枪鱼双拼三明治三件套,黑胡椒厚切牛排三明治三件套,日式照烧鸡三明治,鲍鱼大虾,照烧鸡蛋料双拼三明治三件套,火鸡胸百味卷,双人餐",天河区,other_chicken,,
179,何氏昌记土鸡店(杨屋店),"生蚝,鸡煲",花都区,other_chicken,,
180,牛约堡-牛肉汉堡(广州宇丰科技园店),"炸鸡,牛肉汉堡",番禺区,modern,,
181,华莱士炸鸡汉堡,,番禺区,modern,,
182,伟哥火锅(燕塘大厦店),鸡肉,天河区,other_chicken,,
183,雷州鸭仔饭(汇顺商业大厦A座店),鸡肉,天河区,other_chicken,,
184,碳燃土法鸡煲,鸡煲,黄埔区,other_chicken,,
185,阿娇-碳炉鸡煲,,白云区,other_chicken,,
186,紫燕百味鸡(广州黄埔丰乐店),素菜,黄埔区,other_chicken,,
187,钵钵鸡第3食堂,钵钵鸡,白云区,other_chicken,,
188,新粤西楼-梧州纸包鸡(圣地新天地广场店),"纸包鸡,酸辣鸡爪",荔湾区,other_chicken,,
189,大岗烧鸡店(市桥解放路总店),,番禺区,other_chicken,,
190,荔园窑鸡(钟落潭店),窑鸡,白云区,other_chicken,,
191,远锦海南鸡饭(天河店),海南鸡饭,天河区,other_chicken,,
192,正宗阳山鸡(骏新路店),,番禺区,other_chicken,,
193,醋浸鸡私房菜苑,私房菜,白云区,other_chicken,,
194,清远脆皮烧鸡(新塘店),,增城区,other_chicken,,
195,醉鸡煲(飞娥岭住宅小区店),,白云区,other_chicken,,
196,廖家班嘉华酒家(昌岗东路店),"排骨,白切鸡,鲍鱼,凤爪,点心,走地鸡,龙虾,原只马拉糕",海珠区,traditional,,
197,就叫鸡煲,鸡煲,荔湾区,other_chicken,,
198,琥珀蒜香烧鸡,,南沙区,other_chicken,modern,
199,广州手撕鸡直营店,,增城区,traditional,,
200,麦当劳(中泰国际广场店),"大脆鸡扒麦满分组合,麦辣美味三件套,麦当劳超值嗨餐,（2-3人餐）,人气美味尽享套餐,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,板烧美味三件套,可乐鸡翅,原味板烧鸡腿麦满分组合,家有金桶（脆鸡版）,家有金桶（汉堡版）,汉堡,薯条",天河区,other_chicken,modern,
