id,name,name_norm,label,match_source,district,address,typecode,type,tag,lng,lat
B0M67ZXVY3,霸王传承荷叶窑鸡(客村店),霸王传承荷叶窑鸡,other_chicken,招牌,海珠区,江贝安定里与江贝东海大街南交叉口北140米,050100,餐饮服务;中餐厅;中餐厅,窑鸡,113.313822,23.093109
B0LKNHQ1LM,知味坊茶餐厅,知味坊茶餐厅,modern,推荐菜,海珠区,江海街桂田村南约东六巷31号之二汤姆楼首层107室,050103,餐饮服务;中餐厅;广东菜(粤菜),"冰底柠乐,煎蛋,猪扒拼叉烧饭,猪扒拼鸡扒饭,网红滑蛋虾仁饭,冰红茶柠檬味饮料,蒜香鸡扒饭,黯然叉烧饭,香葱滑蛋牛肉饭,港式丝袜奶茶,脆皮鸡扒（两小块）,香菇滑鸡饭,秘制卤香鸭腿饭,虫草炖乌鸡汤,茶树菇老鸭汤,咖喱鸡饭,牛肉滑蛋饭,【双拼,秘制猪扒+葱叉牛肉滑蛋,叉烧滑蛋饭,鸡扒＋番茄牛肉饭,滑蛋猪扒饭,莲藕炖排骨汤,芬达,可乐,雪碧,辣子鸡饭,肉燥滑蛋饭,葱叉牛肉滑蛋饭加饮品,双人餐",113.312427,23.092403
B0M6RH17EF,涵江牛羊鸡煲,涵江牛羊鸡煲,other_chicken,招牌,海珠区,敦和路与敦和路正街交叉口西40米,050000,餐饮服务;餐饮相关场所;餐饮相关,,113.309586,23.092987
B0L06ZNSWK,沂蒙山炒鸡·深山走地鸡,沂蒙山炒鸡·深山走地鸡,traditional,招牌,海珠区,桂田村南约东六巷与江贝东海大街交叉口东南100米,050100,餐饮服务;中餐厅;中餐厅,走地鸡,113.312579,23.092305
B0IA3XI7JJ,番佬掂·劲脆烧肉(新街市场店),番佬掂·劲脆烧肉,non_chicken,,海珠区,敦和路138号新滘综合市场第六档,050100,餐饮服务;中餐厅;中餐厅,"烧鹅,套餐饭,烧肉饭",113.312479,23.091156
B0M6P7N6WK,金牌秘制炸鸡,金牌秘制炸鸡,modern,招牌,海珠区,鹭江南约大街与鹭江东约新街交叉口西北20米,050100,餐饮服务;中餐厅;中餐厅,,113.306671,23.091175
B0K379VS3A,GOBY韩式炸鸡(客村店),GOBY韩式炸鸡,modern,招牌,海珠区,华乐苑1期,050000,餐饮服务;餐饮相关场所;餐饮相关,韩式炸鸡,113.308454,23.098872
B0H3DRT9AW,老广记(愉景南苑店),老广记,non_chicken,,海珠区,新港西路208号愉景南苑(鹭江地铁站D口步行260米),050100,餐饮服务;中餐厅;中餐厅,,113.306094,23.097941
B0L2R5N6QF,食光鸡炸货铺,食光鸡炸货铺,other_chicken,招牌,海珠区,广州大道南辅路与客村立交交叉口东南240米,050300,餐饮服务;快餐厅;快餐厅,炸货铺,113.31208,23.096854
B00140WDOP,麦当劳(敦和餐厅),麦当劳,other_chicken,推荐菜,海珠区,敦和路59号之一首、二层部份商铺,050302|050500,餐饮服务;快餐厅;麦当劳|餐饮服务;咖啡厅;咖啡厅,"人气美味尽享套餐,原味板烧鸡腿麦满分组合,麦当劳超值嗨餐,（2-3人餐）,大脆鸡扒麦满分组合,板烧美味三件套,麦辣美味三件套,可乐鸡翅,家有金桶（脆鸡版）,家有金桶（汉堡版）,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,双人餐,汉堡,薯条",113.310814,23.092296
B00141JVQC,麦当劳(新港中路餐厅),麦当劳,other_chicken,推荐菜,海珠区,新港中路359号之六丽之影商业广场首、二层,050302,餐饮服务;快餐厅;麦当劳,"咖喱板烧鸡腿堡,麦辣鸡翅块,烤芝士酱薯条,麦辣翅,豬柳蛋漢堡,英伦风味双层牛堡,巨无霸餐,经典芝士蛋糕,马卡龙,香芋派,抹茶麦旋风,苹果口味果味泡泡茶,玫荔味圆筒冰淇淋,烟肉蛋麦满分配脆薯饼,麻辣鸡翅,汉堡,双人餐,薯条",113.313307,23.098485
